Subject,Survey,Experience in conceptual modeling,Knowledge of conceptual modeling languages,Expertise,Current position,Relator-centric (Rank),Akoka (Rank),Castano (Rank),Relator-centric Cohesion,Akoka Cohesion,Castano Cohesion,Ranking Motivation
1,ABC,4 to 8 years,"Unified Modeling Language (UML), OntoUML",Expert,PhD-level student,2,1 (best),3 (worst),4,4,2,
2,ABC,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Intermediate,Business analyst / architect,2,1 (best),3 (worst),1,4,2,Best readable 
3,ABC,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML, i*, BPMN",Expert,Professor,3 (worst),1 (best),2,0,4,3,"Alt-C modularized it in a way that each module became more or less the same size and had a specific context, given by the Relator. One observation is that the class Organization is missing in the employment module and that looks strange to me. Alt-B has also relatively small modules and although the highlighted entities were  roles instead of relators, I also found that ok. Many times, we do reason about a model from the perspective of ""who"" does ""what"" and such approach facilitates that. The worst alternative was Alt-A, because the modularization was unbalanced in terms of the size of the modules. Still, too much had to be read in the Car Rental module and that made me very confuse. "
4,ABC,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OWL",Expert,Consultant,1 (best),2,3 (worst),4,3,1,Coherence of the unifying concept - relators / context were clearer in AltA and AltC
5,ABC,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), SysML, BPMN, ArchiMate",Expert,Professor,2,1 (best),3 (worst),3,4,0,"My preference is based on a clear separation of concerns (general aspects, rental specific)."
6,ABC,0 to 4 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Intermediate,PhD-level student,1 (best),3 (worst),2,4,1,3,
7,ABC,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Expert,Professor,1 (best),2,3 (worst),3,3,2,"I have the impression that ALT-B is ""too much"", and this turns more difficult the interpretation of the model; I´m really in doubt on the other two cases - My favorite would be something between A and C - Separate a bit more Person and Car Rental, but not so much as in case C (mainly involving Person)."
8,ABC,0 to 4 years,OntoUML,Novice,Post-doctoral researcher,1 (best),2,3 (worst),3,2,4,"ALT-A readily gives the complete information concerning car rental, employment, marriage, and so forth, with no excessive complexity."
9,ABC,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Expert,Professor,1 (best),2,3 (worst),3,1,0,"In my opinion, Alt-A is the best one. It is organized by the events, what made me better understand the different model topics.
Alt-C is organized by events too. But it separates close concepts in distinct modules (e.g., Man and Woman, Deceased and Living Person, Personal and Corporate Customer). It makes the model harder do understand.
Alt-B is very confusing, having modules with incomplete relations (e.g., Marriage with Husband omitted), incomplete specializations (e.g., Deceased Person separated from Living Person), and missing relations (e.g., from Car Rental to Responsible Employee and Rental Car). This is not intuitive.
As a suggestion, in Alt-A, I would separate the Car Rental topic as a new module (apart from Person), and integrate the Marriage module to the Person one. Like so, we would have four modules for the topics: Person (and its “business independent” specializations), Employment, Car Ownership, and Car Rental."
10,ABC,0 to 4 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Novice,PhD-level student,1 (best),2,3 (worst),3,1,2,A is a balance between too much and too few information.
